userID,Age_Month,Age_Years,Brand,F_Colors,F_Hobbies,F_Musician,F_SportsTeam,Name,Gender,Shirts_Size,Pants_Size
1,1,0,1,1,43,60,47,Dr. Andrew Trujillo Jr.,1,97,18
2,4,0,5,44,91,37,78,Dr. Joseph Ruiz MD,3,23,8
3,2,1,5,89,34,18,15,Christina Howe,1,10,63
4,4,5,3,22,71,3,36,John Schultz,2,1,17
5,1,5,3,53,74,43,37,David White,3,36,89
6,4,2,1,46,19,33,85,Lindsey Chan MD,3,25,56
7,0,2,5,39,52,46,3,David Willis,2,34,32
8,4,5,3,78,77,96,15,Jessica Elliott,3,89,29
9,4,4,2,16,87,96,82,Benjamin Carter,2,65,72
10,0,2,1,4,51,73,12,Brian Moran,3,17,22
11,3,2,4,14,29,36,2,Cameron Ashley,2,42,43
12,5,5,3,57,93,71,89,Nancy Thomas,3,13,32
13,2,1,2,54,66,53,58,James Dean,2,96,14
14,2,4,4,75,94,63,61,Joshua Kelly,3,84,20
15,3,5,4,30,71,18,71,Martin Ramirez DDS,2,91,42
16,4,4,3,98,47,85,59,Jonathan Bell,1,53,53
17,0,4,4,65,86,25,100,Jesse Mercado,3,38,81
18,4,5,5,60,50,17,8,Philip Paul,2,89,87
19,5,0,2,30,45,45,87,Gregory Lindsey,2,3,17
20,3,5,4,98,100,23,93,Amanda Harris,1,89,23
21,3,0,5,96,89,45,32,Shawn Cline,3,90,88
22,0,3,5,50,8,91,36,Stephen Myers,1,78,17
23,5,5,1,15,19,81,51,Linda Austin,1,85,8
24,1,5,1,94,12,40,58,Kim Nelson,3,55,60
25,2,5,4,49,71,76,77,Adam Hernandez V,1,84,25
26,2,5,2,1,1,16,81,George Smith MD,1,25,85
27,5,1,2,46,94,77,90,John Mcdaniel,2,70,49
28,0,4,4,27,15,12,98,Adam Taylor,3,18,21
29,2,5,1,62,60,30,73,Kelly Mendez,1,45,24
30,1,3,3,65,70,50,42,Richard Thomas,3,67,50
31,5,0,2,95,11,49,3,Jeffrey Holden,2,17,95
32,1,4,5,65,25,22,59,Sara Shepherd,2,71,86
33,5,1,1,52,52,25,7,Matthew Anderson,3,90,74
34,5,5,4,11,74,48,59,Ashley Mendoza,2,33,76
35,3,1,2,58,74,54,13,Steven Flores,3,33,45
36,2,2,5,66,69,46,37,Nancy Thomas,2,83,34
37,0,0,3,22,93,77,15,Chelsea Grant,3,87,36
38,0,1,3,29,89,26,60,Jessica Fuller,1,52,97
39,5,0,2,16,91,14,75,Cynthia Graham,1,92,43
40,1,4,3,61,87,4,59,Douglas Graves,3,81,98
41,4,3,2,22,91,7,8,Ryan Vasquez,3,4,70
42,3,5,2,75,81,29,99,Jessica Rogers,2,67,77
43,3,5,5,20,53,27,33,Nicholas Sanchez,3,70,89
44,5,5,4,22,11,10,67,Philip Golden,2,98,83
45,5,4,3,81,15,77,90,Jenna Baxter,1,30,31
46,3,4,5,96,50,21,64,Edward Reynolds,1,80,33
47,2,3,1,30,12,6,43,Heather Clark,1,90,38
48,5,4,3,18,87,28,68,Melissa Conner,1,23,94
49,4,2,5,75,11,64,48,Raymond Jones,3,45,94
50,4,2,2,14,74,33,76,Whitney Sawyer,3,19,83
51,1,5,5,38,41,100,86,Jamie Camacho,2,83,51
